10,0.055348,0.029312
20,0.083773,0.044962
30,0.118758,0.0650647
40,0.138256,0.079352
50,0.156922,0.0887296
60,0.176468,0.100684
70,0.199572,0.113864
80,0.215557,0.125562
90,0.229666,0.136998
100,0.24387,0.148633
200,0.158285,0.0999502
300,0.143893,0.0917495
400,0.14378,0.0936876
500,0.148658,0.100286
600,0.160608,0.108141
700,0.175607,0.118788
800,0.188448,0.128771
900,0.20167,0.13941
1000,0.214653,0.150287
1500,0.179141,0.125788
2000,0.167523,0.119364
2500,0.172111,0.121861
3000,0.178771,0.126882
3500,0.189863,0.136584
4000,0.211818,0.155388
4500,0.238833,0.174471
5000,0.286549,0.209222
5500,0.308623,0.266289
6000,0.343216,0.285878
6500,0.362872,0.299902
7000,0.371462,0.303556
7500,0.38437,0.313044
8000,0.394091,0.319142
8500,0.431997,0.337955
9000,0.458031,0.355412
9500,0.471329,0.362387
10000,0.484115,0.369252
11000,0.475359,0.360539
12000,0.470646,0.355615
13000,0.469595,0.353721
14000,0.469706,0.353392
15000,0.471677,0.354738
16000,0.474981,0.357483
17000,0.48742,0.36283
18000,0.499412,0.368147
19000,0.510937,0.373769
20000,0.524383,0.381846
21000,0.536427,0.388617
22000,0.548795,0.396041
23000,0.56171,0.404371
24000,0.574314,0.412522
25000,0.588531,0.422413
26000,0.60122,0.431246
27000,0.614283,0.440534
28000,0.627615,0.450215
29000,0.641978,0.460847
30000,0.662008,0.475538
31000,0.674956,0.485452
32000,0.689121,0.496731
33000,0.708412,0.506586
34000,0.731471,0.523646
35000,0.753946,0.535665
36000,0.773195,0.54669
37000,0.791094,0.556911
38000,0.809102,0.567555
39000,0.826875,0.578212
40000,0.844418,0.588733
41000,0.861882,0.599641
42000,0.8818,0.611801
43000,0.898838,0.622777
44000,0.915542,0.633606
45000,0.932107,0.64448
46000,0.94883,0.65578
47000,0.966636,0.667778
48000,0.984637,0.680001
49000,1.00235,0.69347
50000,1.01945,0.705532
51000,1.03568,0.716849
52000,1.05241,0.728831
53000,1.06846,0.740129
54000,1.08491,0.75193
55000,1.10096,0.763522
56000,1.12089,0.777936
57000,1.13661,0.78934
58000,1.15202,0.800683
59000,1.16867,0.813249
60000,1.18674,0.82607
61000,1.20294,0.838474
62000,1.21822,0.84994
63000,1.23429,0.862038
64000,1.25033,0.874165
65000,1.26535,0.885659
66000,1.28716,0.897169
67000,1.30914,0.909292
68000,1.33155,0.922119
69000,1.35329,0.934451
70000,1.37654,0.948524
71000,1.39715,0.96036
72000,1.41809,0.972615
73000,1.43909,0.984796
74000,1.46206,0.999129
75000,1.48353,1.01221
76000,1.50367,1.02425
77000,1.52395,1.03661
78000,1.54522,1.04998
79000,1.56525,1.06243
80000,1.58437,1.0742
81000,1.60337,1.08585
82000,1.62257,1.098
83000,1.64227,1.11049
84000,1.66092,1.12224
85000,1.68163,1.13625
86000,1.70047,1.14832
87000,1.71974,1.16087
88000,1.74072,1.17468
89000,1.75955,1.18727
90000,1.778,1.19941
91000,1.79582,1.21115
92000,1.81592,1.22483
93000,1.83356,1.23696
94000,1.85137,1.2491
95000,1.87,1.26219
96000,1.88755,1.27395
97000,1.90531,1.28633
98000,1.9245,1.29972
99000,1.94191,1.31147
100000,1.96168,1.32614
