10,0.3944,0.04204
20,1.65702,0.10908
30,2.27642,0.07586
40,3.00006,0.0853
50,4.72826,0.08208
60,5.73352,0.12364
70,9.7231,0.30492
80,10.8975,0.3458
90,8.73674,0.12634
100,10.7996,0.10104
200,70.0648,0.96652
300,87.3772,0.71278
400,68.2342,0.18228
500,326.45,1.80346
600,390.318,1.22708
700,473.57,1.19936
800,2981.17,9.7243
900,485.65,0.68276
1000,503.21,1.11696
2000,10043,8.86756
3000,20319.3,20.0153
4000,13934.8,9.99572
5000,7408.31,4.31222
6000,21683.4,10.1452
7000,100083,41.0119
8000,94404.2,33.0255
9000,184630,59.6734
10000,86618.7,12.6926
11000,139209,36.7924
12000,249935,59.9713
13000,102510,22.112
14000,450400,83.3294
15000,260612,49.4065
16000,374752,68.067
17000,421985,36.5949
18000,281206,33.1768
19000,209618,31.8046
20000,237315,17.1996
21000,897531,61.953
22000,140518,18.3951
23000,305691,37.653
24000,2052.42,0.031
25000,539803,21.8782
